PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
6         L         2              6              4                   
10        L         5              8              3                   
12        L         6              10             4                   
14        L         7              12             5                   
1         D         0              14             14                  
3         D         1              16             15                  
7         D         3              18             15                  
16        L         8              20             12                  
9         D         4              22             18                  
18        L         9              24             15                  
17        D         9              26             17                  
20        L         10             28             18                  
19        D         10             30             20                  
22        L         11             32             21                  
21        D         11             34             23                  
24        L         12             36             24                  
23        D         12             38             26                  
26        L         15             40             25                  
25        D         14             42             28                  
28        L         16             44             28                  
27        D         16             46             30                  
30        L         17             48             31                  
33        D         19             50             31                  
32        L         18             52             34                  
35        D         20             54             34                  
40        L         24             56             32                  
37        D         21             58             37                  
42        L         25             60             35                  
